ZIP_CODE,PO_NAME,New York Yankees,New York Mets,Boston Red Sox,Washington Nationals,Tampa Bay Rays
10550,Mount Vernon,49.27,33.17,1.95,0.98,0.98
10552,Mount Vernon,44.16,39.12,3.15,0.63,0.63
10553,Mount Vernon,49.23,26.15,1.54,3.08,3.08
10560,North Salem,45.45,25,11.36,4.55,1.14
10562,Ossining,56.8,25.56,4.26,0.81,0.2
10566,Peekskill,53.11,19.88,1.24,0.93,0.31
10567,Cortlandt Manor,45.24,32.23,4.03,0.92,1.47
10570,Pleasantville,40.46,33.33,8.26,1.71,0.85
10573,Port Chester,46.25,33.72,4.18,1.59,0.58
10576,Pound Ridge,35.71,41.76,4.4,1.1,
10577,Purchase,44.04,28.44,2.75,4.59,
10578,Purdys,47.37,31.58,5.26,nan,
10579,Putnam Valley,48.91,34.31,5.11,nan,1.82
10580,Rye,41.54,31.69,9.03,1.31,0.99
10583,Scarsdale,38.83,34.37,7.22,1.28,0.68
10588,Shrub Oak,43.62,31.91,8.51,1.06,1.06
10589,Somers,36.29,38.61,7.72,1.93,1.54
10590,South Salem,46.21,24.24,9.09,0.76,0.76
10591,Tarrytown,49.39,33.87,3.24,0.81,0.54
10594,Thornwood,68.72,14.87,4.1,0.51,1.54
10595,Valhalla,45.96,35.35,6.06,2.02,0.51
10596,Verplanck,54.55,33.33,3.03,3.03,
10597,Waccabuc,51.16,23.26,4.65,2.33,2.33
10598,Yorktown Heights,52.16,29.68,4.76,0.89,0.44
10601,White Plains,38.19,37.4,4.33,1.97,0.79
10603,White Plains,41.89,38.05,3.24,1.47,1.47
10604,West Harrison,47.06,32.68,6.54,2.61,0.33
10605,White Plains,38.32,37.48,6.39,1.68,0.17
10606,White Plains,42.12,31.51,4.18,2.89,0.32
10607,White Plains,41.84,24.82,2.84,2.13,2.13
10701,Yonkers,50.49,37.45,2.95,0.98,0.56
10703,Yonkers,34.29,20.61,4.05,1.01,0.17
10704,Yonkers,55.96,29.36,2.62,1.02,1.31
10705,Yonkers,55.21,28.63,2.66,0.61,0.2
10706,Hastings on Hudson,54.85,25.37,3.73,1.49,1.49
10707,Tuckahoe,52.16,30,4.32,1.89,0.54
10708,Bronxville,45.1,32.8,4.1,2.78,1.02
10709,Eastchester,51.72,32.84,4.17,0.25,0.74
10710,Yonkers,53.57,32.74,2.23,0.6,0.6
10801,New Rochelle,49.91,30.96,5.63,1.31,0.94
10803,Pelham,40.64,37.87,5.74,0.64,0.85
10804,New Rochelle,38.3,45.05,4.08,1.1,0.78
10805,New Rochelle,47.77,38.14,3.09,1.03,1.03
10901,Suffern,45.29,32.66,3.03,1.35,0.67
10913,Blauvelt,48.92,30.65,8.6,2.15,0.54
10914,Blooming Grove,36.36,18.18,9.09,9.09,9.09
10916,Campbell Hall,45.71,32.38,2.86,nan,3.81
10917,Central Valley,58,18,4,nan,
10918,Chester,50.45,25.23,3.6,0.45,2.25
10919,Circleville,41.18,23.53,5.88,nan,
10920,Congers,40.87,36.9,5.56,1.59,0.79
10921,Florida,33.75,32.5,8.75,1.25,1.25
10922,Fort Montgomery,49.02,15.69,5.88,3.92,1.96
10923,Garnerville,58.33,23.33,6.11,0.56,1.67
10924,Goshen,39.36,30.5,4.96,2.48,1.42
10925,Greenwood Lake,45.78,32.53,9.64,nan,1.2
10926,Harriman,34.55,47.27,3.64,1.82,
10927,Haverstraw,37.78,44.44,4.44,2.22,2.96
10928,Highland Falls,53.33,24.44,6.67,1.11,
10930,Highland Mills,39.82,37.1,3.62,2.26,0.45
10931,Hillburn,57.14,28.57,14.29,nan,
10933,Johnson,71.43,,28.57,nan,
10940,Middletown,39.29,39.29,6.37,1.95,1.42
10941,Middletown,35.92,35.92,4.37,1.94,1.94
10950,Monroe,45.9,32.62,5.25,0.82,0.66
10952,Monsey,53.47,30.12,1.93,0.58,0.39
10953,Mountainville,63.64,18.18,,nan,
10954,Nanuet,47.15,30.25,4.45,2.67,0.53
10956,New City,41.95,34.97,5.85,1.44,0.31
10958,New Hampton,39.39,31.82,4.55,6.06,
10960,Nyack,50.15,29.54,5.54,1.23,1.85
10962,Orangeburg,48.81,32.14,6.55,0.6,0.6
10963,Otisville,42.86,40,5.71,nan,
10964,Palisades,29.07,66.28,,nan,
10965,Pearl River,46.31,33.85,6.31,0.77,0.46
10968,Piermont,39.06,26.56,1.56,nan,3.13
10969,Pine Island,26.92,38.46,3.85,nan,3.85
10970,Pomona,30.28,18.66,4.23,0.35,
10973,Slate Hill,45.61,26.32,3.51,nan,3.51
10974,Sloatsburg,35.96,42.7,4.49,3.37,
10975,Southfields,57.14,28.57,,nan,
10976,Sparkill,42.86,38.1,2.38,2.38,
10977,Spring Valley,54.71,33.73,2.55,0.59,0.59
10980,Stony Point,50.95,33.1,4.05,1.43,0.95
10983,Tappan,53.4,28.16,7.28,0.49,0.49
10984,Thiells,49.18,31.15,1.64,3.28,
10985,Thompson Ridge,33.33,,,nan,
10986,Tomkins Cove,48,40,4,nan,
10987,Tuxedo Park,34,26,12,nan,6
10988,Unionville,,80,,nan,
10989,Valley Cottage,37.5,41.22,3.04,2.36,1.01
10990,Warwick,34.57,35.11,10.64,1.33,1.33
10992,Washingtonville,38.54,35.12,6.83,0.49,2.44
10993,West Haverstraw,60.49,25.93,3.7,nan,1.23
10994,West Nyack,49.14,35.34,3.45,1.72,1.72
10996,West Point,51.65,17.58,9.89,3.3,
10998,Westtown,48,34,2,nan,
11001,Floral Park,16.89,72.25,2.21,1.11,0.62
11003,Elmont,17.17,73.48,1.96,0.87,1.09
11004,Glen Oaks,13.95,74.42,2.33,0.33,0.66
11005,Floral Park,16.28,44.19,,9.3,
11010,Franklin Square,21.37,65.07,3.51,0.88,0.98
11020,Great Neck,22.52,60.93,0.66,1.99,
11021,Great Neck,22.46,64.49,1.92,1.15,0.96
11023,Great Neck,20.94,67.09,2.56,0.43,0.85
11024,Great Neck,25.23,60.75,1.4,2.34,0.47
11030,Manhasset,17.74,65.74,3.77,1.58,0.97
11040,New Hyde Park,20.35,63.55,3.55,1.3,1.56
11042,New Hyde Park,4.76,42.86,,23.81,
11050,Port Washington,20.12,64.58,2.87,1.18,1.01
11096,Inwood,26.62,62.99,1.95,0.65,
11101,Long Island City,33.62,52.55,2.04,0.68,0.68
11102,Astoria,28.11,60.02,1.66,0.83,0.83
11103,Astoria,22.86,61.95,2.71,0.79,0.52
11104,Sunnyside,22.85,66.2,1.8,0.28,0.55
11105,Astoria,29.76,58.1,2.73,0.75,0.75
11106,Astoria,29.42,58.41,2.39,0.65,0.87
11109,Long Island City,27.86,54.84,3.23,0.59,0.59
11201,Brooklyn,35.1,41.7,3.51,1.8,0.51
11203,Brooklyn,43.7,45.19,0.74,0.37,0.37
11204,Brooklyn,41.33,43.11,1.02,0.51,0.26
11205,Brooklyn,34.1,47.47,3.69,0.69,
11206,Brooklyn,39.69,44.43,1.98,1.1,0.66
11207,Brooklyn,35.42,52.84,2.27,0.38,0.57
11208,Brooklyn,32.45,57.57,2.66,0.67,0.83
11209,Brooklyn,31.81,48.95,3.83,0.27,0.36
11210,Brooklyn,36.81,36.6,1.94,2.15,1.08
11211,Brooklyn,37.25,45.14,2.98,0.79,0.35
11212,Brooklyn,40.58,46.86,0.97,0.48,0.97
11213,Brooklyn,49.57,36.3,2.17,nan,0.43
11214,Brooklyn,37.5,51.79,1.19,0.99,1.19
11215,Brooklyn,33.78,44.1,3.96,1.48,0.28
11216,Brooklyn,34.49,47.26,2.01,1.64,
11217,Brooklyn,34.78,46.7,3.09,1.26,0.14
11218,Brooklyn,30.91,46.29,3.36,0.56,0.28
11219,Brooklyn,40.52,39.54,2.61,0.98,1.63
11220,Brooklyn,39.29,46.62,1.5,0.94,1.32
11221,Brooklyn,37.87,47.46,2.94,0.49,0.49
11222,Brooklyn,29.82,53.7,3.02,0.49,0.68
11223,Brooklyn,35.81,38.58,1.22,0.78,0.67
11224,Brooklyn,39.04,42.54,0.88,0.88,0.88
11225,Brooklyn,34.44,44.44,2.89,1.11,
11226,Brooklyn,33.46,43.36,4.3,2.06,
11228,Brooklyn,28.85,57.7,2.08,0.42,0.97
