ZIP_CODE,PO_NAME,New York Yankees,New York Mets,Boston Red Sox,Washington Nationals,Tampa Bay Rays
12028,Buskirk,28.57,,57.14,nan,
12029,Canaan,13.64,9.09,59.09,nan,4.55
12031,Carlisle,50,,,nan,
12032,Caroga Lake,14.29,,28.57,nan,14.29
12033,Castleton on Hudson,25.74,21.78,33.66,1.98,0.99
12035,Central Bridge,28.57,14.29,28.57,nan,
12036,Charlotteville,,100,,nan,
12037,Chatham,31.91,25.53,17.02,2.13,
12041,Clarksville,20.83,4.17,4.17,8.33,
12042,Climax,50,,,nan,
12043,Cobleskill,11.67,23.33,31.67,1.67,1.67
12045,Coeymans,50,12.5,,nan,
12046,Coeymans Hollow,45.83,4.17,33.33,nan,
12047,Cohoes,34.97,19.02,26.38,0.92,1.23
12051,Coxsackie,24.53,39.62,11.32,nan,1.89
12052,Cropseyville,13.33,33.33,20,nan,
12053,Delanson,35.42,10.42,27.08,nan,4.17
12054,Delmar,32.38,17.62,13.99,2.59,2.07
12056,Duanesburg,27.27,27.27,13.64,nan,
12057,Eagle Bridge,27.27,,36.36,nan,
12058,Earlton,50,25,,nan,25
12059,East Berne,25,10,30,10,10
12060,East Chatham,16.67,16.67,50,nan,
12061,East Greenbush,34.41,13.44,17.74,5.38,1.08
12062,East Nassau,28.57,21.43,28.57,nan,
12063,East Schodack,55.56,,33.33,nan,
12064,East Worcester,25,25,50,nan,
12065,Clifton Park,29.32,15.3,22.02,2.2,2.55
12066,Esperance,10,40,20,nan,
12067,Feura Bush,31.82,18.18,27.27,nan,
12068,Fonda,21.21,39.39,21.21,nan,
12069,Fort Hunter,,,100,nan,
12070,Fort Johnson,40,20,20,nan,
12071,Fultonham,100,,,nan,
12072,Fultonville,56.25,15.63,12.5,nan,
12074,Galway,36,8,28,nan,
12075,Ghent,28,20,40,nan,
12076,Gilboa,31.58,47.37,5.26,nan,5.26
12077,Glenmont,32.62,15.6,25.53,nan,2.13
12078,Gloversville,35.38,23.08,18.46,nan,3.08
12083,Greenville,24.24,15.15,27.27,nan,3.03
12084,Guilderland,26.19,14.29,21.43,2.38,4.76
12086,Hagaman,22.86,20,37.14,nan,5.71
12087,Hannacroix,50,,,nan,7.14
12090,Hoosick Falls,16.67,24.36,32.05,nan,1.28
12092,Howes Cave,33.33,,33.33,nan,
12093,Jefferson,40,,20,nan,
12094,Johnsonville,44.44,18.52,14.81,3.7,
12095,Johnstown,48.84,14.73,17.05,3.1,1.55
12106,Kinderhook,38.24,32.35,8.82,nan,
12108,Lake Pleasant,88.89,,11.11,nan,
12110,Latham,38.2,17.51,18.04,2.12,0.53
12115,Malden Bridge,,50,50,nan,
12116,Maryland,40,,40,nan,
12117,Mayfield,47.37,5.26,15.79,5.26,
12118,Mechanicville,29.24,23.1,20.58,2.53,1.08
12120,Medusa,,100,,nan,
12121,Melrose,8.33,12.5,62.5,nan,4.17
12122,Middleburgh,35,15,15,nan,
12123,Nassau,18.37,22.45,24.49,nan,6.12
12124,New Baltimore,,66.67,,nan,
12125,New Lebanon,36.36,,45.45,nan,9.09
12130,Niverville,33.33,22.22,44.44,nan,
12131,North Blenheim,,100,,nan,
12134,Northville,45.45,9.09,27.27,nan,
12136,Old Chatham,50,20,20,nan,
12137,Pattersonville,57.14,14.29,14.29,nan,7.14
12138,Petersburg,16.67,16.67,66.67,nan,
12139,Piseco,,,50,nan,
12140,Poestenkill,20,5,40,20,
12143,Ravena,41.43,15.71,10,1.43,1.43
12144,Rensselaer,36.82,22.3,20.27,0.34,
12147,Rensselaerville,33.33,,33.33,nan,16.67
12148,Rexford,24.32,17.57,17.57,nan,1.35
12149,Richmondville,22.22,27.78,11.11,nan,
12150,Rotterdam Junction,45.45,27.27,18.18,nan,
12151,Round Lake,50,,33.33,nan,
12153,Sand Lake,30,,10,nan,
12154,Schaghticoke,47.83,8.7,21.74,4.35,4.35
12155,Schenevus,21.74,8.7,30.43,4.35,
12156,Schodack Landing,75,,25,nan,
12157,Schoharie,34.62,15.38,11.54,3.85,3.85
12158,Selkirk,32.63,16.84,22.11,1.05,2.11
12159,Slingerlands,17.17,19.7,24.75,2.53,2.02
12160,Sloansville,31.25,31.25,6.25,nan,
12161,South Bethlehem,,,,nan,
12164,Speculator,7.69,15.38,7.69,nan,
12165,Spencertown,25,50,,nan,
12166,Sprakers,33.33,33.33,,nan,
12167,Stamford,33.33,33.33,27.78,nan,
12168,Stephentown,40,,20,nan,
12169,Stephentown,16.67,50,16.67,nan,16.67
12170,Stillwater,38.57,12.86,30,1.43,2.86
12172,Stottville,25,43.75,31.25,nan,
12173,Stuyvesant,27.78,16.67,5.56,nan,16.67
12174,Stuyvesant Falls,50,,,nan,50
12175,Summit,,,50,50,
12176,Surprise,16.67,16.67,,16.67,
12177,Tribes Hill,81.25,6.25,12.5,nan,
12180,Troy,35.96,15.21,20.75,2.33,1.79
12182,Troy,39.74,19.87,23.84,0.66,
12183,Troy,36.84,28.95,15.79,nan,
12184,Valatie,24.55,24.55,20.91,1.82,2.73
12185,Valley Falls,68.42,,26.32,nan,
12186,Voorheesville,37.84,11.71,24.32,3.6,4.5
12187,Warnerville,75,,,nan,
12188,Waterford,44.83,15.33,13.79,1.15,0.77
12189,Watervliet,37.41,17.48,22.38,0.7,2.8
12190,Wells,30,60,,nan,
12192,West Coxsackie,11.11,33.33,22.22,nan,
12193,Westerlo,25,37.5,12.5,nan,12.5
12194,West Fulton,,,100,nan,
12196,West Sand Lake,25.49,39.22,11.76,1.96,3.92
12197,Worcester,18.18,4.55,36.36,nan,
12198,Wynantskill,37.28,15.98,20.71,2.37,1.18
12202,Albany,24.19,29.03,12.9,nan,
12203,Albany,35.6,23.56,15.18,2.09,1.83
12204,Albany,34.48,16.09,16.09,1.15,3.45
12205,Albany,37.78,19.81,17.04,1.11,1.67
12206,Albany,46.38,11.59,13.04,nan,
12207,Albany,33.33,16.67,5.56,5.56,
12208,Albany,33.1,21.95,19.16,2.44,1.05
12209,Albany,41.67,17.71,16.67,1.04,4.17
12210,Albany,24.1,25.3,14.46,6.02,3.61
12211,Albany,31.94,16.73,19.39,4.18,
12302,Schenectady,38.74,16.21,19.23,2.75,1.65
12303,Schenectady,33.42,24.46,21.2,2.17,1.9
12304,Schenectady,28.65,32.43,18.92,2.16,2.16
12305,Schenectady,41.18,23.53,14.71,nan,
12306,Schenectady,37.09,17.84,21.36,1.88,2.11
12307,Schenectady,75,12.5,,nan,
12308,Schenectady,42.64,20.93,17.05,3.1,1.55
12309,Schenectady,29.41,18.01,20.96,2.57,2.02
12401,Kingston,41.75,28.77,8.02,0.71,1.89
12404,Accord,43.9,24.39,12.2,nan,
12405,Acra,50,50,,nan,
12406,Arkville,,,,100,
12407,Ashland,100,,,nan,
12409,Bearsville,,50,,nan,
12410,Big Indian,,50,,nan,
12411,Bloomington,100,,,nan,
12412,Boiceville,,,100,nan,
12413,Cairo,28,40,16,4,4
12414,Catskill,34.48,37.07,11.21,0.86,
12418,Cornwallville,100,,,nan,
12419,Cottekill,50,7.14,7.14,7.14,7.14
12421,Denver,100,,,nan,
12422,Durham,25,50,,nan,
12423,East Durham,40,30,15,nan,
12424,East Jewett,,100,,nan,
12427,Elka Park,57.14,,,28.57,
12428,Ellenville,38.6,33.33,3.51,3.51,1.75
12430,Fleischmanns,20,20,,nan,
12431,Freehold,30.77,15.38,7.69,nan,15.38
12432,Glasco,50,12.5,12.5,nan,
12433,Glenford,16.67,16.67,16.67,nan,
12434,Grand Gorge,28.57,14.29,14.29,nan,14.29
12435,Greenfield Park,50,50,,nan,
12436,Haines Falls,6.67,26.67,10,6.67,6.67
12439,Hensonville,,100,,nan,
12440,High Falls,26.32,31.58,5.26,5.26,
12442,Hunter,,50,,nan,50
12443,Hurley,27.42,33.87,8.06,1.61,
12444,Jewett,33.33,,33.33,nan,
12446,Kerhonkson,51.06,34.04,6.38,nan,
12448,Lake Hill,100,,,nan,
12449,Lake Katrine,31.25,46.88,9.38,6.25,
12450,Lanesville,,100,,nan,
12451,Leeds,53.33,26.67,6.67,nan,
12453,Malden on Hudson,,,,nan,
12454,Maplecrest,33.33,33.33,33.33,nan,
12455,Margaretville,50,,,nan,
12456,Mount Marion,30,60,10,nan,
12457,Mount Tremper,66.67,,,nan,
12458,Napanoch,44,36,4,nan,
12460,Oak Hill,50,50,,nan,
12461,Olivebridge,60,30,,nan,
12463,Palenville,77.78,5.56,5.56,nan,
12464,Phoenicia,,83.33,,16.67,
12466,Port Ewen,52.63,23.68,5.26,nan,
12468,Prattsville,75,25,,nan,
12469,Preston Hollow,,,100,nan,
12470,Purling,33.33,66.67,,nan,
12472,Rosendale,81.25,,,nan,
12473,Round Top,11.11,33.33,11.11,nan,
12474,Roxbury,83.33,16.67,,nan,
12477,Saugerties,36.15,33.33,12.21,nan,0.94
12480,Shandaken,66.67,33.33,,nan,
12481,Shokan,50,33.33,,16.67,
12482,South Cairo,33.33,,33.33,nan,
12484,Stone Ridge,45.45,13.64,4.55,nan,
12485,Tannersville,87.5,12.5,,nan,
12486,Tillson,46.67,20,13.33,nan,
12487,Ulster Park,27.27,27.27,9.09,4.55,
12489,Wawarsing,,50,50,nan,
12491,West Hurley,57.14,25,10.71,nan,
12492,West Kill,,,,nan,100
12494,West Shokan,72.73,,9.09,nan,9.09
12496,Windham,27.78,22.22,27.78,nan,
12498,Woodstock,44.44,20,6.67,2.22,4.44
12501,Amenia,16.36,45.45,,1.82,
12502,Ancram,100,,,nan,
12503,Ancramdale,50,,,nan,
12507,Barrytown,,,100,nan,
12508,Beacon,45.42,29.93,5.63,1.41,2.11
12512,Chelsea,100,,,nan,
12513,Claverack,30.77,38.46,15.38,nan,
12514,Clinton Corners,31.71,20.73,12.2,3.66,1.22
12515,Clintondale,38.46,23.08,15.38,nan,
12516,Copake,33.33,33.33,11.11,nan,5.56
12518,Cornwall,37.58,29.3,8.28,1.91,1.27
12520,Cornwall on Hudson,45.07,25.35,9.86,nan,
12521,Craryville,35,20,25,5,
12522,Dover Plains,37.04,38.89,7.41,nan,
12523,Elizaville,53.33,20,13.33,nan,6.67
12524,Fishkill,44.87,27,9.13,1.52,1.14
12525,Gardiner,39.73,28.77,8.22,4.11,2.74
12526,Germantown,40.68,23.73,11.86,3.39,
12528,Highland,50.72,28.02,3.86,1.93,
12529,Hillsdale,31.82,9.09,22.73,nan,
12530,Hollowville,,66.67,33.33,nan,
12531,Holmes,41.98,38.27,4.94,1.23,
12533,Hopewell Junction,50.32,31.69,3.82,0.64,1.11
12534,Hudson,39.29,18.45,15.48,1.79,0.6
12538,Hyde Park,37.7,32.98,14.66,1.05,0.52
12540,Lagrangeville,43.62,32.21,6.04,2.01,0.67
12542,Marlboro,54.95,25.27,2.2,3.3,1.1
12543,Maybrook,37.84,10.81,,nan,
12545,Millbrook,45.59,17.65,8.82,7.35,1.47
12546,Millerton,50,7.14,14.29,nan,3.57
12547,Milton,42,30,14,nan,2
12548,Modena,21.74,56.52,4.35,nan,
12549,Montgomery,40,33.33,5.67,1,0.67
12550,Newburgh,47.3,29.74,2.78,1.22,1.22
12553,New Windsor,50.1,29.94,4.89,1.63,0.81
12561,New Paltz,49.39,29.39,4.9,nan,1.22
12563,Patterson,51.48,23.67,5.92,1.78,1.18
12564,Pawling,46.09,29.57,4.35,0.87,
12565,Philmont,14.29,14.29,28.57,14.29,
12566,Pine Bush,46.67,33.89,7.22,0.56,1.11
12567,Pine Plains,25,42.86,7.14,3.57,
12569,Pleasant Valley,47.8,29.67,6.59,0.55,0.55
12570,Poughquag,43.33,30.56,3.89,2.78,
12571,Red Hook,40.35,35.96,7.02,0.88,
12572,Rhinebeck,32.08,31.13,14.15,0.94,0.94
12575,Rock Tavern,44.59,41.89,2.7,nan,4.05
12577,Salisbury Mills,56.25,33.33,,nan,
12578,Salt Point,48.53,17.65,20.59,nan,
12580,Staatsburg,28.57,35.71,16.67,4.76,
12581,Stanfordville,65,30,5,nan,
12582,Stormville,48.57,27.62,6.67,0.95,2.86
12583,Tivoli,25,50,12.5,nan,
12585,Verbank,63.64,,9.09,nan,9.09
12586,Walden,42.13,32.68,4.72,0.39,0.79
12589,Wallkill,41.09,36.82,5.81,1.55,0.39
12590,Wappingers Falls,51.19,27.47,6.48,0.68,1.71
12592,Wassaic,71.43,14.29,14.29,nan,
12594,Wingdale,45.45,27.27,3.03,nan,3.03
12601,Poughkeepsie,49.61,26.23,6.23,2.08,0.52
12603,Poughkeepsie,40.23,34.72,8.68,0.83,0.67
12604,Poughkeepsie,33.33,,,nan,
12701,Monticello,39.13,41.3,5.43,nan,1.09
12719,Barryville,28.57,21.43,7.14,7.14,21.43
12720,Bethel,,,,nan,
12721,Bloomingburg,31.43,51.43,4.29,nan,4.29
12723,Callicoon,27.27,45.45,9.09,nan,
12725,Claryville,20,80,,nan,
12726,Cochecton,33.33,33.33,,nan,
12729,Cuddebackville,25,58.33,8.33,nan,
12732,Eldred,6.67,60,6.67,6.67,
12733,Fallsburg,,50,,nan,
12734,Ferndale,100,,,nan,
12736,Fremont Center,20,60,20,nan,
12737,Glen Spey,59.26,18.52,11.11,3.7,
12738,Glen Wild,100,,,nan,
12740,Grahamsville,15,30,15,nan,
12741,Hankins,,50,,nan,
12742,Harris,,100,,nan,
12743,Highland Lake,16.67,83.33,,nan,
12746,Huguenot,46.67,20,13.33,nan,
12747,Hurleyville,53.85,30.77,7.69,nan,
12748,Jeffersonville,37.5,25,,nan,
12751,Kiamesha Lake,33.33,,33.33,nan,
12752,Lake Huntington,,50,,nan,
12754,Liberty,48.39,32.26,6.45,3.23,3.23
12758,Livingston Manor,45.95,24.32,5.41,5.41,
12759,Loch Sheldrake,37.5,25,12.5,nan,
12762,Mongaup Valley,50,25,,nan,
12763,Mountain Dale,18.18,27.27,,nan,
12764,Narrowsburg,61.54,15.38,23.08,nan,
12765,Neversink,30,20,20,nan,20
12766,North Branch,100,,,nan,
12768,Parksville,12.5,50,,12.5,
12770,Pond Eddy,50,50,,nan,
12771,Port Jervis,40.67,44.67,2.67,nan,2
12775,Rock Hill,32,30,2,nan,2
12776,Roscoe,38.24,23.53,,2.94,
12777,Forestburgh,40,20,20,nan,
12778,Smallwood,87.5,12.5,,nan,
12779,South Fallsburg,33.33,22.22,,nan,
12780,Sparrow Bush,27.27,36.36,9.09,9.09,4.55
12783,Swan Lake,77.78,11.11,,nan,
12785,Westbrookville,55.56,22.22,22.22,nan,
12786,White Lake,,,,50,
12787,White Sulphur Springs,100,,,nan,
12788,Woodbourne,38.89,27.78,,nan,5.56
12789,Woodridge,52.17,26.09,,nan,
12790,Wurtsboro,42.31,28.85,3.85,1.92,
12791,Youngsville,,16.67,16.67,nan,
12792,Yulan,,100,,nan,
12801,Glens Falls,33.17,12.38,35.15,0.99,
12803,South Glens Falls,34.09,15.91,23.86,3.41,0.57
12804,Queensbury,30.28,13.3,24.08,0.69,4.13
12808,Adirondack,33.33,,33.33,nan,33.33
12809,Argyle,69.44,8.33,12.5,nan,
12810,Athol,33.33,,,nan,
12811,Bakers Mills,,,,nan,
12812,Blue Mountain Lake,,,100,nan,
12814,Bolton Landing,38.1,33.33,19.05,nan,
12815,Brant Lake,28.57,28.57,14.29,nan,14.29
12816,Cambridge,26,6,48,2,2
12817,Chestertown,33.33,16.67,20.83,4.17,
12819,Clemons,100,,,nan,
12821,Comstock,50,,50,nan,
12822,Corinth,29.55,20.45,27.27,2.27,11.36
12823,Cossayuna,,66.67,33.33,nan,
12824,Diamond Point,33.33,16.67,33.33,nan,
12827,Fort Ann,34.48,13.79,27.59,nan,10.34
12828,Fort Edward,22.41,24.14,26.72,0.86,1.72
12831,Gansevoort,25.42,17.63,24.75,2.03,1.36
12832,Granville,18.67,16,34.67,2.67,2.67
12833,Greenfield Center,23.91,34.78,19.57,nan,4.35
12834,Greenwich,30.88,23.53,17.65,2.94,2.94
12835,Hadley,44,28,8,nan,
12836,Hague,91.43,2.86,5.71,nan,
12837,Hampton,,,66.67,nan,
12838,Hartford,50,,,nan,50
12839,Hudson Falls,43.08,15.38,26.15,nan,2.31
12842,Indian Lake,50,,,nan,16.67
12843,Johnsburg,100,,,nan,
12844,Kattskill Bay,,,50,nan,
12845,Lake George,25.56,22.22,21.11,1.11,2.22
12846,Lake Luzerne,35.71,28.57,7.14,nan,3.57
12847,Long Lake,,,100,nan,
12849,Middle Granville,60,,13.33,nan,
12850,Middle Grove,20,46.67,20,4.44,
12851,Minerva,,,50,nan,
12852,Newcomb,25,,50,nan,
12853,North Creek,31.25,6.25,56.25,6.25,
12854,North Granville,,,100,nan,
12856,North River,,100,,nan,
12859,Porter Corners,43.75,6.25,18.75,nan,
12861,Putnam Station,20,,40,nan,
12863,Rock City Falls,28.57,,28.57,nan,28.57
12865,Salem,35,10,30,5,
12866,Saratoga Springs,26.71,15.48,25.07,2.19,2.05
12870,Schroon Lake,23.53,17.65,17.65,5.88,11.76
12871,Schuylerville,37.88,15.15,12.12,nan,
12873,Shushan,42.86,14.29,14.29,nan,
12874,Silver Bay,50,,50,nan,
12878,Stony Creek,50,,50,nan,
12883,Ticonderoga,35.09,10.53,22.81,5.26,5.26
12884,Victory Mills,,,100,nan,
12885,Warrensburg,40.74,31.48,18.52,nan,1.85
12887,Whitehall,34.38,15.63,34.38,nan,
12901,Plattsburgh,32.28,16.71,25.36,2.59,2.31
12903,Plattsburgh,24,40,,nan,
12910,Altona,42.86,33.33,14.29,4.76,
12911,Keeseville,,,100,nan,
12912,Au Sable Forks,41.67,8.33,33.33,8.33,
12913,Bloomingdale,41.67,8.33,16.67,nan,8.33
12914,Bombay,,,100,nan,
12916,Brushton,20,15,5,nan,20
12917,Burke,28.57,,57.14,nan,
12918,Cadyville,48.84,4.65,20.93,6.98,
12919,Champlain,13.04,8.7,47.83,4.35,8.7
12920,Chateaugay,30,10,30,nan,10
12921,Chazy,21.88,15.63,50,nan,3.13
12923,Churubusco,100,,,nan,
12924,Keeseville,,,,nan,
12926,Constable,25,,25,nan,
12928,Crown Point,37.5,25,25,nan,
12930,Dickinson Center,14.29,,42.86,nan,28.57
12932,Elizabethtown,,33.33,,nan,
12934,Ellenburg Center,50,,50,nan,
12935,Ellenburg Depot,70,10,20,nan,
12936,Essex,,,100,nan,
12937,Fort Covington,16.67,,33.33,nan,33.33
12941,Jay,26.67,20,20,nan,6.67
12942,Keene,25,,,nan,
12943,Keene Valley,33.33,,66.67,nan,
12944,Keeseville,13.16,18.42,28.95,2.63,2.63
12945,Lake Clear,33.33,,33.33,nan,
12946,Lake Placid,22.22,20,13.33,2.22,6.67
12950,Lewis,20,,,nan,20
12952,Lyon Mountain,,,,nan,
12953,Malone,38.89,7.78,17.78,nan,11.11
12955,Lyon Mountain,28.57,14.29,14.29,nan,28.57
12956,Mineville,62.5,12.5,25,nan,
12957,Moira,83.33,,,nan,
12958,Mooers,12.5,12.5,37.5,nan,
12959,Mooers Forks,36.36,,36.36,nan,
12960,Moriah,25,,75,nan,
12961,Moriah Center,50,,50,nan,
12962,Morrisonville,28.71,13.86,20.79,0.99,7.92
12964,New Russia,,,,nan,
12965,Nicholville,,50,,nan,
12966,North Bangor,26.67,,,nan,13.33
12967,North Lawrence,,100,,nan,
12969,Owls Head,,,,nan,
12970,Paul Smiths,,100,,nan,
12972,Peru,23.29,13.7,30.14,1.37,5.48
12974,Port Henry,7.14,,60.71,nan,
12976,Rainbow Lake,,,100,nan,
12977,Ray Brook,33.33,66.67,,nan,
12978,Redford,20,20,,nan,
12979,Rouses Point,3.23,6.45,64.52,nan,6.45
12980,Saint Regis Falls,40,10,30,nan,10
12981,Saranac,28.13,3.13,43.75,nan,
12983,Saranac Lake,21.79,5.13,38.46,3.85,6.41
12985,Schuyler Falls,,,25,nan,25
12986,Tupper Lake,39.02,4.88,7.32,2.44,4.88
12987,Upper Jay,50,,50,nan,
12989,Vermontville,9.09,,,nan,
12992,West Chazy,20,2,58,2,
12993,Westport,16.67,8.33,33.33,8.33,
12996,Willsboro,9.09,9.09,22.73,nan,
12997,Wilmington,11.11,22.22,,33.33,
12998,Witherbee,,,100,nan,
13021,Auburn,28.6,11.16,16.28,3.95,0.47
13026,Aurora,42.86,,28.57,nan,
13027,Baldwinsville,25.61,9.76,18.05,2.44,2.2
13028,Bernhards Bay,80,,,nan,
13029,Brewerton,23.75,7.5,23.75,6.25,2.5
13030,Bridgeport,23.81,14.29,4.76,4.76,
13031,Camillus,22.33,7.28,24.27,3.88,2.43
13032,Canastota,28.97,7.48,21.5,2.8,3.74
13033,Cato,23.81,19.05,4.76,nan,4.76
13034,Cayuga,38.46,7.69,38.46,nan,
13035,Cazenovia,25,2.78,24.07,4.63,
13036,Central Square,27.03,1.35,25.68,4.05,
13037,Chittenango,20.51,7.69,20.51,1.28,1.28
13039,Cicero,25.36,10.51,16.67,2.54,3.62
13040,Cincinnatus,57.14,,14.29,nan,14.29
13041,Clay,21.09,10.94,23.44,2.34,3.91
13042,Cleveland,42.86,,,nan,14.29
13044,Constantia,40,10,40,nan,
13045,Cortland,22.33,17.48,16.5,1.94,2.91
13052,De Ruyter,25,,25,nan,
13053,Dryden,18.92,21.62,16.22,5.41,5.41
13054,Durhamville,50,,50,nan,
13057,East Syracuse,22.58,11.29,23.39,nan,3.23
13060,Elbridge,21.05,5.26,15.79,nan,
13061,Erieville,,20,,20,
13063,Fabius,22.22,5.56,22.22,nan,5.56
13066,Fayetteville,16.4,7.94,34.39,5.29,
13068,Freeville,31.03,13.79,10.34,10.34,
13069,Fulton,26.81,7.97,18.84,2.9,2.17
13071,Genoa,11.11,,66.67,22.22,
13072,Georgetown,100,,,nan,
13073,Groton,35.29,14.71,8.82,nan,
13074,Hannibal,33.33,,,nan,
13076,Hastings,30,35,5,nan,
13077,Homer,13.56,27.12,13.56,3.39,8.47
13078,Jamesville,18,6,28,3.33,
13080,Jordan,14.29,9.52,19.05,4.76,9.52
13081,King Ferry,,,,33.33,
13082,Kirkville,46.43,10.71,10.71,3.57,
13083,Lacona,,16.67,50,nan,
13084,La Fayette,38.89,11.11,16.67,nan,5.56
13087,Little York,100,,,nan,
13088,Liverpool,28.24,5.56,18.06,2.78,5.09
13090,Liverpool,20.19,13.62,17.84,2.11,0.7
13092,Locke,40,20,20,nan,
13101,Mc Graw,29.41,11.76,5.88,5.88,
13104,Manlius,20.31,12.11,22.66,3.91,2.34
13108,Marcellus,22.73,16.67,15.15,4.55,1.52
13110,Marietta,45,,15,10,
13111,Martville,50,25,25,nan,
13112,Memphis,11.11,,11.11,11.11,22.22
13114,Mexico,23.53,11.76,5.88,2.94,
13115,Minetto,,,,nan,
13116,Minoa,30.56,5.56,13.89,5.56,5.56
13118,Moravia,23.68,5.26,18.42,2.63,
13120,Nedrow,36.36,9.09,18.18,nan,
13122,New Woodstock,,,10,nan,
13126,Oswego,31.53,12.81,12.32,2.46,2.46
13131,Parish,18.18,9.09,18.18,nan,18.18
13132,Pennellville,33.33,,33.33,nan,
13135,Phoenix,27.91,4.65,23.26,2.33,4.65
13136,Pitcher,,100,,nan,
13140,Port Byron,,,,7.14,
13141,Preble,25,,,nan,
13142,Pulaski,30,10,10,8,
13143,Red Creek,20,10,30,nan,
13144,Richland,21.43,,7.14,nan,
13145,Sandy Creek,40,,40,nan,
13146,Savannah,100,,,nan,
13147,Scipio Center,,,25,nan,
13148,Seneca Falls,14.97,29.25,12.93,2.72,1.36
13152,Skaneateles,11.11,15.08,18.25,2.38,0.79
13153,Skaneateles Falls,,,33.33,33.33,
13155,South Otselic,33.33,,66.67,nan,
13156,Sterling,33.33,,,nan,
13157,Sylvan Beach,33.33,66.67,,nan,
13158,Truxton,50,,,10,
13159,Tully,28.57,4.76,21.43,2.38,
13160,Union Springs,50,,20,nan,
13162,Verona Beach,,100,,nan,
13163,Wampsville,33.33,,33.33,nan,
13164,Warners,25.58,13.95,16.28,6.98,2.33
13165,Waterloo,34.43,8.2,6.56,3.28,1.64
13166,Weedsport,27.91,9.3,27.91,6.98,
13167,West Monroe,31.25,6.25,37.5,6.25,
13202,Syracuse,25.49,5.88,21.57,1.96,3.92
13203,Syracuse,24.53,9.43,18.87,nan,3.77
13204,Syracuse,30.28,8.26,22.02,4.59,3.67
13205,Syracuse,33.33,14.58,6.25,6.25,
13206,Syracuse,28.57,13.1,15.48,3.57,4.76
13207,Syracuse,31.08,9.46,17.57,6.76,1.35
13208,Syracuse,36.63,8.91,10.89,1.98,2.97
13209,Syracuse,27.73,11.76,21.01,4.2,0.84
13210,Syracuse,23.47,11.22,18.37,2.04,5.1
13211,Syracuse,45.83,4.17,20.83,nan,
13212,Syracuse,21.69,8.47,20.63,1.59,1.59
13214,Syracuse,16,12,21.33,6.67,
13215,Syracuse,25.84,7.3,21.91,8.99,1.12
13219,Syracuse,23.2,4.97,16.57,2.21,9.39
13224,Syracuse,28.57,3.57,10.71,nan,1.79
13244,Syracuse,18.18,,18.18,9.09,
13301,Alder Creek,100,,,nan,
13302,Altmar,75,,,nan,
13303,Ava,,25,50,nan,
13304,Barneveld,13.33,,20,nan,6.67
13308,Blossvale,10,,20,nan,
13309,Boonville,26.92,11.54,15.38,15.38,
13310,Bouckville,,50,50,nan,
13312,Brantingham,50,,,nan,
13313,Bridgewater,,,,nan,
13314,Brookfield,,25,25,nan,
13315,Burlington Flats,16.67,33.33,,nan,
13316,Camden,13.64,9.09,36.36,nan,
13317,Canajoharie,30.56,27.78,13.89,2.78,
13318,Cassville,27.27,,72.73,nan,
13319,Chadwicks,66.67,,,33.33,
13320,Cherry Valley,9.09,9.09,18.18,nan,9.09
13321,Clark Mills,25,25,25,nan,25
13322,Clayville,27.27,9.09,,nan,
13323,Clinton,22.22,6.48,26.85,6.48,4.63
13324,Cold Brook,33.33,,,nan,
13325,Constableville,100,,,nan,
13326,Cooperstown,14,16,22,2,4
13327,Croghan,36.36,18.18,27.27,nan,9.09
13328,Deansboro,33.33,,33.33,nan,
13329,Dolgeville,22.22,18.52,18.52,3.7,3.7
13331,Eagle Bay,50,,,nan,
13332,Earlville,10,20,40,nan,
13334,Eaton,100,,,nan,
13335,Edmeston,50,,12.5,nan,
13337,Fly Creek,33.33,,33.33,nan,
13338,Forestport,18.18,36.36,18.18,nan,
13339,Fort Plain,20,16,18,12,2
13340,Frankfort,45.98,10.34,10.34,5.75,
13343,Glenfield,,,60,nan,
13345,Greig,,,,nan,
13346,Hamilton,15,10,27.5,nan,2.5
13348,Hartwick,33.33,,50,nan,
13350,Herkimer,34.09,14.77,26.14,2.27,
13354,Holland Patent,23.33,3.33,23.33,6.67,6.67
13355,Hubbardsville,33.33,,,nan,
13357,Ilion,22.22,12.22,35.56,nan,2.22
13360,Inlet,,25,,nan,
13361,Jordanville,,,50,nan,
13363,Lee Center,17.86,3.57,14.29,nan,3.57
13364,Leonardsville,,100,,nan,
13365,Little Falls,46.03,14.29,14.29,nan,1.59
13367,Lowville,26.42,5.66,16.98,5.66,1.89
13368,Lyons Falls,66.67,,33.33,nan,
13402,Madison,,,40,nan,
13403,Marcy,36.54,13.46,17.31,1.92,1.92
13406,Middleville,66.67,,33.33,nan,
13407,Mohawk,25.64,20.51,43.59,nan,
13408,Morrisville,33.33,,16.67,nan,
13409,Munnsville,40,,20,20,
13410,Nelliston,,7.14,78.57,nan,
13411,New Berlin,23.08,,30.77,nan,7.69
13413,New Hartford,32.88,10.36,26.58,1.8,2.25
13416,Newport,37.5,6.25,18.75,nan,
13417,New York Mills,38.64,9.09,20.45,nan,
13418,North Brookfield,,,100,nan,
13420,Old Forge,30,,5,5,
13421,Oneida,24.59,4.92,27.05,0.82,0.82
13424,Oriskany,39.13,4.35,26.09,nan,
13425,Oriskany Falls,30,,20,nan,10
13428,Palatine Bridge,25,20,5,nan,10
